County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-09-04,13997,2364,0.1688933342859184,302,70,232,294
DuPage,2020-09-04,2337,426,0.1822849807445443,74,29,45,70
Lake,2020-09-04,2163,327,0.15117891816920942,56,39,17,55
Kane,2020-09-04,1151,181,0.157254561251086,47,29,18,45
Will,2020-09-04,949,175,0.18440463645943098,44,26,17,34
St. Clair,2020-09-04,697,109,0.1563845050215208,24,2,22,23
Winnebago,2020-09-04,601,99,0.16472545757071547,16,13,3,16
Madison,2020-09-04,598,79,0.13210702341137123,25,11,14,22
McHenry,2020-09-04,513,91,0.17738791423001948,15,12,3,14
Kankakee,2020-09-04,512,41,0.080078125,14,8,6,13
Rock Island,2020-09-04,349,52,0.1489971346704871,14,6,8,14
LaSalle,2020-09-04,287,39,0.13588850174216027,9,1,8,9
Clinton,2020-09-04,201,16,0.07960199004975124,6,4,2,5
Peoria,2020-09-04,198,31,0.15656565656565657,10,5,5,9
Sangamon,2020-09-04,197,32,0.16243654822335024,9,5,4,9
Jefferson,2020-09-04,179,35,0.19553072625698323,5,3,2,5
DeKalb,2020-09-04,152,25,0.16447368421052633,5,3,2,4
Macon,2020-09-04,151,24,0.15894039735099338,8,0,8,7
Williamson,2020-09-04,140,5,0.03571428571428571,5,0,5,5
Morgan,2020-09-04,139,18,0.12949640287769784,3,0,3,3
Coles,2020-09-04,139,20,0.14388489208633093,6,1,5,5
Iroquois,2020-09-04,133,19,0.14285714285714285,3,2,1,3
Union,2020-09-04,132,20,0.15151515151515152,3,1,2,3
Lee,2020-09-04,104,1,0.009615384615384616,2,1,1,1
Boone,2020-09-04,95,16,0.16842105263157894,2,2,0,2
Whiteside,2020-09-04,86,11,0.12790697674418605,6,1,5,6
Tazewell,2020-09-04,83,6,0.07228915662650602,8,3,5,7
Jackson,2020-09-04,81,15,0.18518518518518517,3,0,3,3
Perry,2020-09-04,78,8,0.10256410256410256,2,0,2,2
McLean,2020-09-04,78,11,0.14102564102564102,4,2,2,3
McDonough,2020-09-04,68,16,0.23529411764705882,3,3,0,3
Monroe,2020-09-04,68,11,0.16176470588235295,4,2,2,4
Cass,2020-09-04,63,11,0.1746031746031746,2,1,1,2
Kendall,2020-09-04,62,14,0.22580645161290322,3,1,2,3
Adams,2020-09-04,60,4,0.06666666666666667,5,1,4,5
Jersey,2020-09-04,54,4,0.07407407407407407,1,0,1,1
Champaign,2020-09-04,53,5,0.09433962264150944,7,4,3,7
Christian,2020-09-04,49,2,0.04081632653061224,7,1,6,7
Jasper,2020-09-04,49,8,0.16326530612244897,1,0,1,1
Ford,2020-09-04,45,2,0.044444444444444446,4,3,1,4
Macoupin,2020-09-04,36,2,0.05555555555555555,4,1,3,4
Cumberland,2020-09-04,34,3,0.08823529411764706,1,0,1,1
Moultrie,2020-09-04,31,2,0.06451612903225806,1,0,1,1
Grundy,2020-09-04,31,3,0.0967741935483871,1,1,0,1
Marion,2020-09-04,28,0,0.0,3,0,3,3
Carroll,2020-09-04,25,2,0.08,1,0,1,1
Edgar,2020-09-04,20,0,0.0,1,0,1,1
Bureau,2020-09-04,18,0,0.0,2,0,2,2
Montgomery,2020-09-04,17,2,0.11764705882352941,3,1,2,3
Knox,2020-09-04,15,2,0.13333333333333333,2,0,2,2
Mercer,2020-09-04,14,3,0.21428571428571427,1,0,1,1
Jo Daviess,2020-09-04,14,0,0.0,3,1,2,2
Randolph,2020-09-04,11,0,0.0,3,1,2,2
Ogle,2020-09-04,10,0,0.0,2,0,2,2
Shelby,2020-09-04,10,0,0.0,3,1,2,3
Wabash,2020-09-04,9,0,0.0,3,0,3,3
Clark,2020-09-04,8,0,0.0,1,0,1,1
Richland,2020-09-04,8,0,0.0,1,0,1,1
Wayne,2020-09-04,8,1,0.125,2,2,0,2
Vermilion,2020-09-04,8,0,0.0,2,0,2,2
Effingham,2020-09-04,8,0,0.0,3,0,3,3
Logan,2020-09-04,7,0,0.0,2,1,1,1
Scott,2020-09-04,7,0,0.0,1,1,0,1
Bond,2020-09-04,5,0,0.0,1,0,1,1
White,2020-09-04,5,0,0.0,2,0,2,2
Stephenson,2020-09-04,2,0,0.0,1,1,0,1
Pike,2020-09-04,2,0,0.0,1,0,1,1
Warren,2020-09-04,2,0,0.0,1,0,1,1
Livingston,2020-09-04,2,0,0.0,1,0,1,1
Lawrence,2020-09-04,2,0,0.0,1,0,1,1
Franklin,2020-09-04,2,0,0.0,1,0,1,1
Douglas,2020-09-04,2,0,0.0,1,0,1,1
Woodford,2020-09-04,2,0,0.0,1,0,1,1
